"item_id","group","att_n","sentence_or_sentence_md5","honorificness_score","notes"
"101_pl",101,"pl","Yöneticilerin aşçısı mutfakta sürekli zıpladılar efendim.",2,NA
"101_sg",101,"sg","Yöneticinin aşçısı mutfakta sürekli zıpladılar efendim.",2,NA
"102_pl",102,"pl","Öğrencilerin ablası sınıfta birden bayıldılar efendim.",3,NA
"102_sg",102,"sg","Öğrencinin ablası sınıfta birden bayıldılar efendim.",3,NA
"103_pl",103,"pl","Marangozların abisi atölyeden hızla uzaklaştılar efendim.",3,NA
"103_sg",103,"sg","Marangozun abisi atölyeden hızla uzaklaştılar efendim.",3,NA
"104_pl",104,"pl","Mahallelinin emlakçısı aniden küstahça güldüler efendim.",3,NA
"104_sg",104,"sg","Mahallelinin emlakçısı aniden küstahça güldüler efendim.",3,NA
"105_pl",105,"pl","Kızların halası sabaha kadar ağladılar efendim.",3,NA
"105_sg",105,"sg","Kızların halası sabaha kadar ağladılar efendim.",3,NA
"106_pl",106,"pl","Damatların dayısı arada sırada sıkıldılar efendim.",3,NA
"106_sg",106,"sg","Damadın dayısı arada sırada sıkıldılar efendim.",3,NA
"107_pl",107,"pl","Doktorların çiçekçisi günden güne zayıfladılar efendim.",2,NA
"107_sg",107,"sg","Doktorun çiçekçisi günden güne zayıfladılar efendim.",2,NA
"108_pl",108,"pl","Stajyerlerin eniştesi geceden önce uyudular efendim.",3,NA
"108_sg",108,"sg","Stajyerin eniştesi geceden önce uyudular efendim.",3,NA
"109_pl",109,"pl","Aristokratların hizmetçisi yorgun argın yattılar efendim.",1,NA
"109_sg",109,"sg","Aristokratın hizmetçisi yorgun argın yattılar efendim.",1,NA
"110_pl",110,"pl","Konuşmacıların sunucusu olağanüstü hızlı koştular efendim.",3,NA
"110_sg",110,"sg","Konuşmacının sunucusu olağanüstü hızlı koştular efendim.",3,NA
"111_pl",111,"pl","Psikiyatristlerin eczacısı aç susuz dolaştılar efendim.",4,NA
"111_sg",111,"sg","Psikiyatristin eczacısı aç susuz dolaştılar efendim.",4,NA
"112_pl",112,"pl","Politikacıların hocası adliyeden çabucak çıktılar efendim.",5,NA
"112_sg",112,"sg","Politikacının hocası adliyeden çabucak çıktılar efendim.",5,NA
"113_pl",113,"pl","Hakimlerin çaycısı nedensiz yere kızdılar efendim.",1,NA
"113_sg",113,"sg","Hakimin çaycısı nedensiz yere kızdılar efendim.",1,NA
"114_pl",114,"pl","Oyuncuların hemşiresi etrafta amaçsızca gezdiler efendim.",4,NA
"114_sg",114,"sg","Oyuncunun hemşiresi etrafta amaçsızca gezdiler efendim.",4,NA
"115_pl",115,"pl","Öğretmenlerin müdiresi biraz önce aradılar efendim.",5,NA
"115_sg",115,"sg","Öğretmenin müdiresi biraz önce aradılar efendim.",5,NA
"116_pl",116,"pl","Milyonerlerin terzisi tamamen gereksizce bağırdılar efendim.",2,NA
"116_sg",116,"sg","Milyonerin terzisi tamamen gereksizce bağırdılar efendim.",2,NA
"117_pl",117,"pl","Bebeklerin bakıcısı çok kibar davrandılar efendim.",2,NA
"117_sg",117,"sg","Bebeğin bakıcısı çok kibar davrandılar efendim.",2,NA
"118_pl",118,"pl","Çocukların dadısı yüksek sesle konuştular efendim.",2,NA
"118_sg",118,"sg","Çocuğun dadısı yüksek sesle konuştular efendim.",2,NA
"119_pl",119,"pl","Futbolcuların sürücüsü çok yavaş çalıştılar efendim.",2,NA
