"item_id","group","att_n","sentence_or_sentence_md5","honorificness_score","notes"
"101_pl","101","pl","Yöneticilerin aşçısı mutfakta sürekli zıpladılar efendim.",NA,""
"101_sg","101","sg","Yöneticinin aşçısı mutfakta sürekli zıpladılar efendim.",NA,""
"102_pl","102","pl","Öğrencilerin ablası sınıfta birden bayıldılar efendim.",NA,""
"102_sg","102","sg","Öğrencinin ablası sınıfta birden bayıldılar efendim.",NA,""
"103_pl","103","pl","Marangozların abisi atölyeden hızla uzaklaştılar efendim.",NA,""
"103_sg","103","sg","Marangozun abisi atölyeden hızla uzaklaştılar efendim.",NA,""
"104_pl","104","pl","Mahallelinin emlakçısı aniden küstahça güldüler efendim.",NA,""
"104_sg","104","sg","Mahallelinin emlakçısı aniden küstahça güldüler efendim.",NA,""
"105_pl","105","pl","Kızların halası sabaha kadar ağladılar efendim.",NA,""
"105_sg","105","sg","Kızların halası sabaha kadar ağladılar efendim.",NA,""
"106_pl","106","pl","Damatların dayısı arada sırada sıkıldılar efendim.",NA,""
"106_sg","106","sg","Damadın dayısı arada sırada sıkıldılar efendim.",NA,""
"107_pl","107","pl","Doktorların çiçekçisi günden güne zayıfladılar efendim.",NA,""
"107_sg","107","sg","Doktorun çiçekçisi günden güne zayıfladılar efendim.",NA,""
"108_pl","108","pl","Stajyerlerin eniştesi geceden önce uyudular efendim.",NA,""
"108_sg","108","sg","Stajyerin eniştesi geceden önce uyudular efendim.",NA,""
"109_pl","109","pl","Aristokratların hizmetçisi yorgun argın yattılar efendim.",NA,""
"109_sg","109","sg","Aristokratın hizmetçisi yorgun argın yattılar efendim.",NA,""
"110_pl","110","pl","Konuşmacıların sunucusu olağanüstü hızlı koştular efendim.",NA,""
"110_sg","110","sg","Konuşmacının sunucusu olağanüstü hızlı koştular efendim.",NA,""
"111_pl","111","pl","Psikiyatristlerin eczacısı aç susuz dolaştılar efendim.",NA,""
"111_sg","111","sg","Psikiyatristin eczacısı aç susuz dolaştılar efendim.",NA,""
"112_pl","112","pl","Politikacıların hocası adliyeden çabucak çıktılar efendim.",NA,""
"112_sg","112","sg","Politikacının hocası adliyeden çabucak çıktılar efendim.",NA,""
"113_pl","113","pl","Hakimlerin çaycısı nedensiz yere kızdılar efendim.",NA,""
"113_sg","113","sg","Hakimin çaycısı nedensiz yere kızdılar efendim.",NA,""
"114_pl","114","pl","Oyuncuların hemşiresi etrafta amaçsızca gezdiler efendim.",NA,""
"114_sg","114","sg","Oyuncunun hemşiresi etrafta amaçsızca gezdiler efendim.",NA,""
"115_pl","115","pl","Öğretmenlerin müdiresi biraz önce aradılar efendim.",NA,""
"115_sg","115","sg","Öğretmenin müdiresi biraz önce aradılar efendim.",NA,""
"116_pl","116","pl","Milyonerlerin terzisi tamamen gereksizce bağırdılar efendim.",NA,""
"116_sg","116","sg","Milyonerin terzisi tamamen gereksizce bağırdılar efendim.",NA,""
"117_pl","117","pl","Bebeklerin bakıcısı çok kibar davrandılar efendim.",NA,""
"117_sg","117","sg","Bebeğin bakıcısı çok kibar davrandılar efendim.",NA,""
"118_pl","118","pl","Çocukların dadısı yüksek sesle konuştular efendim.",NA,""
"118_sg","118","sg","Çocuğun dadısı yüksek sesle konuştular efendim.",NA,""
"119_pl","119","pl","Futbolcuların sürücüsü çok yavaş çalıştılar efendim.",NA,""
"119_sg","119","sg","Futbolcunun sürücüsü çok yavaş çalıştılar efendim.",NA,""
"120_pl","120","pl","Modacıların taksicisi saatlerce durmaksızın içtiler efendim.",NA,""
"120_sg","120","sg","Modacının taksicisi saatlerce durmaksızın içtiler efendim.",NA,""
"121_pl","121","pl","Sanatçıların çalgıcısı feci bir şekilde öldüler efendim.",NA,""
"121_sg","121","sg","Sanatçının çalgıcısı feci bir şekilde öldüler efendim.",NA,""
"122_pl","122","pl","Dedektiflerin dişçisi ilk kez çılgınca eğlendiler efendim.",NA,""
"122_sg","122","sg","Dedektifin dişçisi ilk kez çılgınca eğlendiler efendim.",NA,""
"123_pl","123","pl","Esnafların müşterisi şikayettten hemen sonra sustular efendim.",NA,""
"123_sg","123","sg","Esnafın müşterisi şikayettten hemen sonra sustular efendim.",NA,""
"124_pl","124","pl","Şarkıcıların koruması her zamanki gibi geciktiler efendim.",NA,""
"124_sg","124","sg","Şarkıcının koruması her zamanki gibi geciktiler efendim.",NA,""
"125_pl","125","pl","Göstericilerin izleyicisi akşama kadar sessizce oturdular efendim.",NA,""
"125_sg","125","sg","Göstericinin izleyicisi akşama kadar sessizce oturdular efendim.",NA,""
"126_pl","126","pl","Cerrahların hastası akşamki gösteriden önce kaçtılar efendim.",NA,""
"126_sg","126","sg","Cerrahın hastası akşamki gösteriden önce kaçtılar efendim.",NA,""
"127_pl","127","pl","Dalgıçların annesi bile bile geç kaldılar efendim.",NA,""
"127_sg","127","sg","Dalgıcın annesi bile bile geç kaldılar efendim.",NA,""
"128_pl","128","pl","Fabrikatörlerin işçisi beklenmedik bir anda hastalandılar efendim.",NA,""
"128_sg","128","sg","Fabrikatörün işçisi beklenmedik bir anda hastalandılar efendim.",NA,""
"129_pl","129","pl","Komedyenlerin yardımcısı poyrazdan dolayı üşüdüler efendim.",NA,""
"129_sg","129","sg","Komedyenin yardımcısı poyrazdan dolayı üşüdüler efendim.",NA,""
"130_pl","130","pl","Şoförlerin yolcusu yemekten sonra yine acıktılar efendim.",NA,""
"130_sg","130","sg","Şoförün yolcusu yemekten sonra yine acıktılar efendim.",NA,""
"131_pl","131","pl","Mühendislerin kapıcısı erken ödemeden dolayı sevindiler efendim.",NA,""
"131_sg","131","sg","Mühendisin kapıcısı erken ödemeden dolayı sevindiler efendim.",NA,""
"132_pl","132","pl","Pazarcıların nakliyecisi mesaiden hemen sonra uzandılar efendim.",NA,""
"132_sg","132","sg","Pazarcının nakliyecisi mesaiden hemen sonra uzandılar efendim.",NA,""
"133_pl","133","pl","Oyuncuların eğitimcisi ilk denemede epey zorlandılar efendim.",NA,""
"133_sg","133","sg","Oyuncunun eğitimcisi ilk denemede epey zorlandılar efendim.",NA,""
"134_pl","134","pl","Mankenlerin modacısı geç bir vakitte kalktılar efendim.",NA,""
"134_sg","134","sg","Mankenin modacısı geç bir vakitte kalktılar efendim.",NA,""
"135_pl","135","pl","Konukların teyzesi müthiş bir ağrıyla uyandılar efendim.",NA,""
"135_sg","135","sg","Konuğun teyzesi müthiş bir ağrıyla uyandılar efendim.",NA,""
"136_pl","136","pl","Oğlanların amcası boş bir caddede yürüdüler efendim.",NA,""
